,name
122,Wheezal Cadmium Sulphuratum Dilution 30
124,HHP 4 Drop
126,Bjain Alfalfa Globules 0/27 LM
128,LDD Bioscience Codeinum P Dilution 30 CH
130,SBL Phytolacca Mother Tincture Q
132,Dr. Reckeweg Raphanus Sativus Dilution 1000 CH
134,Pioneer Pharma Pothos Foetidus Globules Pellet Multidose Pills 6 CH
136,Pioneer Pharma Bio-Combination No 18 Tablet
138,Wheezal Cimicifuga Racemosa Globules 0/2 LM
140,Wheezal Chininum Sulphuricum Globules 0/29 LM
142,Wheezal Cimicifuga Racemosa Globules 0/21 LM
144,Dr. Majumder Homeo World Aralia Racemosa Dilution (30 ml Each) 1M
146,Wheezal Plumbum Metallicum Globules 0/4 LM
148,Dr. Reckeweg Teucrium M V Dilution 10M CH
150,Wheezal Dilution Geranium Mac. 1M
152,Wheezal Colchicum Autumnale Dilution 10M
154,Dr Willmar Schwabe India Tuberculinum Dilution 200 CH
156,LDD Bioscience Ceanonthus Americanus Dilution 30 CH
158,Bjain Collinsonia Canadensis Globules 0/22 LM
160,Dr. Majumder Homeo World Argentum Iodatum Dilution (30 ml Each) 12 CH
162,Dr. Majumder Homeo World Aloe Socotrina Dilution (30ml Each) 1M
164,Bjain Abroma Radix Globules 0/22 LM
166,Organon Belladonna Dilution 30
168,Bjain Avena Sativa Globules 0/15 LM
170,Wheezal Allium Cepa 0/15 LM
172,Bjain Abroma Radix Globules 0/14 LM
174,Bjain Abroma Radix Globules 0/12 LM
176,Dr. Reckeweg Arsenicum Album Dilution 1M
178,Boericke Abrus Precatorius Dilution (30ml Each) 50M
180,Bjain Achyranthes Aspera Globules 0/18 LM
182,Wheezal Skookum Chuck Trituration Tablet 3X
184,Wheezal Colocynthis Dilution 10M
186,Bjain Avena Sativa Globules 0/26 LM
188,Bjain Aegle Marmelos Globules 0/1 LM
190,Bjain Antimonium Tartaricum Globules 0/21 LM
192,REPL Dr. Advice No.60 Locomotor Ataxia Drop
194,Sett Dey Anthracinum Dilution 200
196,Rxhomeo Uranium Nitricum 1M
198,Rxhomeo Actaea Spicata 1M Pellets
200,Dr. Majumder Homeo World Brahmi Dilution(30ml Each) 50M
202,Combo Pack of SBL Nux Vomica Dilution 200 CH & SBL Arnica Montana Dilution 200 CH (30ml Each)
204,Wheezal Naphthalinum CM Dilution
206,Wheezal Skookum Chuck Dilution 30
208,Sett Dey Vipera Dilution 200
210,Pioneer Pharma Alloxanum Globules Pellets Multidose Pills 1000 CH
212,Sett Dey Caladium Seguinum Dilution 1M
214,ADEL Ratanhia Peruviana Mother Tincture Q
216,ADEL Melilotus Off Dilution 200
218,Dr Willmar Schwabe India Borax Trituration Tablet 6X
220,"Combo Pack of SBL Syzygium Jambolanum Mother Tincture Q, SBL Cephalandra Indica Mother Tincture Q & SBL Gymnema Sylvestre Mother Tincture Q (30ml Each)"
222,Lord's Ars Sulph Flav Trituration Tablet 3X
224,Dr. Reckeweg Iris Versicolor Mother Tincture Q
226,Wheezal Picrotoxinum Dilution CM
228,Wheezal Amyl Nitrosum Dilution 10M
230,REPL Dr. Advice No.135 Tocorel Drop
232,Wheezal Chamomilla Globules 0/19 LM
234,LDD Bioscience Glonoinum Dilution 10M CH
236,Wheezal Agnus Castus 0/12 LM
238,Wheezal Agaricus Muscarius 0/27 LM
