name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url,brand_name,key_benefits,key_ingredients,rating,number_of_rating
SBL Sticta Pulmonaria Dilution 30 CH,30 ml,105,105.0,https://www.1mg.com/otc/sbl-sticta-pulmonaria-dilution-30-ch-otc348753,SBL Pvt Ltd,"['Helps in treating coryza', 'Treats bronchial catarrh', 'Helps in curing influenza', 'Relieves rheumatic disturbances', 'Treats nervous disturbances', 'Relieves rheumatic neck stiffness', 'Reduces pressure in forehead']",['Extracts from sticta pulmoniaria plant'],4.3,49
Dr Willmar Schwabe Germany Nux Moschata (Myristica Fragrans) Dilution 30,10 ml,180,180.0,https://www.1mg.com/otc/dr-willmar-schwabe-germany-nux-moschata-myristica-fragrans-dilution-30-otc697445,Dr Willmar Schwabe India Pvt Ltd,"['It is helpful in the management of dry mouth and sore throat', 'Provides relief from rheumatic pains caused due to cold weather exposure', 'It is an effective remedy for managing nervous disorders and relieves drowsiness and sleepiness']",['Nux Moschata'],0.0,0
LDD Bioscience Ginseng Mother Tincture Q,100 ml,625,625.0,https://www.1mg.com/otc/ldd-bioscience-ginseng-mother-tincture-q-otc723038,LDD Bioscience Pvt Ltd,,['Ginseng'],4.6,14
Allen's Livosin Total Tonic,180 ml,160,160.0,https://www.1mg.com/otc/allen-s-livosin-total-tonic-otc392996,Allen Healthcare,"['It has carminative action and is useful in flatulence', 'It has laxative action and is useful in case of constipation', 'Used in the treatment of liver complications', 'anorexia', 'and abdominal pain due to gaseous distention', 'Indicated for indigestion', 'anorexia', 'constipation', 'and pain in abdomen']","['Alfalfa', 'Ginseng', 'Avena sativa', 'Withania somnifera', 'Cinchona officinalis', 'Aloe socotrina', 'Terminalia arjuna', 'Terminalia chebula', 'Carica papaya', 'Acidum phosphoricum', 'Nux vomica', 'Carbo vegetabilis', 'Natrum sulphuricum', 'Kali phosphoricum', 'Magnesium phosphoricum']",4.0,20
Bjain Mercurius Solubilis Dilution 30C,100 ml,180,180.0,https://www.1mg.com/otc/bjain-mercurius-solubilis-dilution-30c-otc438010,Bjain Pharmaceuticals Pvt. Ltd.,"['Reduces the sweating or nose bleeding during the day and night and the heat of bed in cold and damp weather', 'Removes the bad breath and discharging and foul smell', 'It helps to manage the loss of hair and oily sweat on the head', 'Reduces the inflammation and stinging burning on the scalp', 'Helps with the vertigo and headaches', 'It relieves the burning and corrosive discharges in the eyes', 'Good remedy for nose bleeds', 'foul smelling and bloody discharges', 'swelling and destruction of nasal bones', 'sneezing when goes out in sunshine', 'Reduces and calms the boils in external canal', 'Reduces the sensitivity in stomach with touch and leaving you with the feeling of continuous hunger', 'Helps in handling the trembling of hands and paralysis or the bone pains in limbs at night']",['Mercurius Solubilis'],4.6,42
LDD Bioscience Mother Tincture Phytolacca Berry Q,100 ml,320,320.0,https://www.1mg.com/otc/ldd-bioscience-mother-tincture-phytolacca-berry-q-otc725167,LDD Bioscience Pvt Ltd,"['This formulation can help improve body metabolism and enhance the digestive system to aid in weight loss and reduce fat from the body', 'It may help in weight management by reducing appetite and maintaining high energy levels', 'It might help boost the absorption of food and minimise exhaustion', 'hyperacidity', 'or other conditions related to low food intake', 'It can help soothe the sore or painful throat', 'swollen tonsils', 'tonsillitis', 'and difficulty in swallowing']",['Phytolacca Berry Q'],4.4,28
Dr. Reckeweg Hypericum Per Dilution 200 CH,11 ml,170,161.0,https://www.1mg.com/otc/dr.-reckeweg-hypericum-per-dilution-200-ch-otc335080,Dr Reckeweg & Co,"['Treats hyperhydrosis', 'Reduces nervousness', 'Heals nerve Injuries and crushed injuries', 'Relieves headache', 'Eases pain in joints']",['Extracts of whole blooming hypericum plant'],4.7,157
Dr Willmar Schwabe India Cobaltum Metallicum Dilution 1000 CH,30 ml,150,150.0,https://www.1mg.com/otc/dr-willmar-schwabe-india-cobaltum-metallicum-dilution-1000-ch-otc400188,Dr Willmar Schwabe India Pvt Ltd,"['Helps treat male complaints from mental excitement with constant change of moods', 'Provides relief from dull headache with itching of the hairy parts of face and scalp', 'Excellent remedy for toothache with white coating of the tongue along with cracks and fissures', 'Relieves shooting pains in the liver region and the spleen', 'Reduces inflammation of liver and spleen with soreness of the abdomen', 'Excellent remedy for sexual weakness with premature ejaculation and pain in the testicles', 'relieved after urinating', 'Relieves pain in the lumbar region with weakness of legs as well as pain in the urethra']",['Cobaltum Metallicum'],0.0,0
LDD Bioscience Sabal Serrulata Mother Tincture Q,100 ml,320,320.0,https://www.1mg.com/otc/ldd-bioscience-sabal-serrulata-mother-tincture-q-otc725504,LDD Bioscience Pvt Ltd,"['It corrects mood swings and elevates mood', 'The product helps to increase weight and strength', 'It provides relief from excessive cough and cold', 'It helps to calm the nervous system', 'thereby reducing anxiety']",,4.6,25
SBL Dolichos Dilution 1000 CH,30 ml,150,150.0,https://www.1mg.com/otc/sbl-dolichos-dilution-1000-ch-otc348949,SBL Pvt Ltd,"['Useful in various skin and liver conditions', 'Provides relief from pain in the gums', 'Provides relief from pain in throat', 'Relieves from many types of itching', 'Helps in relieving cough and breathing difficulties', 'Cures itching related to jaundice', 'Helps in relieving bloating and constipation', 'Provides relief from the sharp pain in upper portion of both the lungs', 'Helps in healing rashes and eruptions on skin', 'Relieves from expanded abdomen and promotes healthy stool formation']","['Dolichos', 'Alcohol']",4.4,48
Dr Willmar Schwabe Germany Natrum Muriaticum Dilution 30,10 ml,180,180.0,https://www.1mg.com/otc/dr-willmar-schwabe-germany-natrum-muriaticum-dilution-30-otc697410,Dr Willmar Schwabe India Pvt Ltd,"['Regulates increased blood sugar', 'which causes an increase in hunger and thirst', 'Aids inflammation of the frontal sinuses and relieves congestive headache', 'Effective in managing nausea', 'vomiting and diarrhoea']",['Natrum muriaticum'],0.0,0
LDD Bioscience Berberis Vulgaris Mother Tincture Q,100 ml,190,190.0,https://www.1mg.com/otc/ldd-bioscience-berberis-vulgaris-mother-tincture-q-otc691793,LDD Bioscience Pvt Ltd,"['It is commonly used for treating kidney stones and their associated pain', 'It helps with digestive problems and nauseatic issues caused by kidney stones', 'It effectively works in the treatment to ease lumbago', 'It works to effectively provide relief from rheumatic pain']",['Berberis Vulgaris'],4.4,21
SBL Ranunculus Bulbosus Dilution 6 CH,30 ml,105,105.0,https://www.1mg.com/otc/sbl-ranunculus-bulbosus-dilution-6-ch-otc355908,SBL Pvt Ltd,"['It helps in relieving rheumatic pain in the intercostal', 'Reduces rheumatic pain in the rib joint caused due to ulceration', 'Useful in healing eruptions and corns on skin', 'Helps in treating burning and itching sensation on skin', 'It is also useful in case of hydrothorax and chronic sciatica', 'Effective in treating pain in forehead and eyes']",['Buttercup'],4.6,27
Dr Willmar Schwabe India Santoninum Dilution 6 CH,30 ml,105,105.0,https://www.1mg.com/otc/dr-willmar-schwabe-india-santoninum-dilution-6-ch-otc393165,Dr Willmar Schwabe India Pvt Ltd,"['Useful in treating Photophobia and dilation of pupils', 'It is also useful in treating colour blindness squint due to worms', 'Helps in treating infections of kidneys and painful urination', 'Relieves intense pain in the forehead', 'Provides relief from vomiting and purging accompanied by severe abdominal pain', 'Prevents grating of teeth during sleep', 'Helps in reducing sleepiness and restlessness', 'Reduces nausea and twitching of muscles']",['Santonica'],0.0,0
LDD Bioscience Arnica Montana Mother Tincture Q,100 ml,455,455.0,https://www.1mg.com/otc/ldd-bioscience-arnica-montana-mother-tincture-q-otc691575,LDD Bioscience Pvt Ltd,"['It is very useful in the treatment of bleeding', 'bruises and injuries', 'It works to boost hair growth', 'It works to help in cases of mouth dryness', 'ulcers and fissures', 'It is extremely useful for people suffering from joint pains']",['Arnica Montana Q'],4.2,23
Dr Willmar Schwabe India Natrum Bicarbonicum Dilution 30 CH,30 ml,105,104.0,https://www.1mg.com/otc/dr-willmar-schwabe-india-natrum-bicarbonicum-dilution-30-ch-otc395292,Dr Willmar Schwabe India Pvt Ltd,"['Primarily used for the treatment of stomach disorders and dyspepsia', 'It can be used in the treatment of diarrhoea and helps in stimulating appetite', 'Provides relief from condition of excess acid in stomach and treats related ailments', 'Helpful in relieving conditions of heartburn and headache']",['Natrum Bicarbonicum'],0.0,0
Bakson's Homeopathy Thyroidinum Dilution 30 CH,30 ml,100,100.0,https://www.1mg.com/otc/bakson-s-homeopathy-thyroidinum-dilution-30-ch-otc603025,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"['It helps to increase iodine absorption in the body', 'It helps prevent muscular weakness', 'It helps to control unhealthy weight loss or weight gain', 'It helps to improve appetite']",['Dried thyroid gland of the sheep'],0.0,0
LDD Bioscience Chelidonium Majus Mother Tincture Q,100 ml,320,320.0,https://www.1mg.com/otc/ldd-bioscience-chelidonium-majus-mother-tincture-q-otc691778,LDD Bioscience Pvt Ltd,"['It is commonly used for skin ailments like ulcers', 'warts', 'corns and ringworms', 'It helps with indigestion issues', 'and prevents nausea and vomitting', 'It helps in cases of jaundice and other liver infections', 'It works to effectively ease chronic liver problems']",['Chelidonium Majus'],4.6,32
Bjain Dulcamara Dilution 1000 CH,12 ml,100,82.9,https://www.1mg.com/otc/bjain-dulcamara-dilution-1000-ch-otc712619,Bjain Pharmaceuticals Pvt. Ltd.,"['Helps in treating irregular menstrual cycle and skin disorders like psoriasis and eczema', 'Provides relief from inflammation of bladder and painful urination', 'Relives stiffness in muscles and joint pains', 'Useful remedy for patients suffering from wheezy cough and cystitis', 'Relieves congestion and helps in promoting easiness in breathing']",['Dulcamara'],4.7,20
Bakson's Homeopathy Paraffinum Dilution 1000 CH,30 ml,140,131.0,https://www.1mg.com/otc/bakson-s-homeopathy-paraffinum-dilution-1000-ch-otc768127,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"['It provides relief from pain that extends and shifts from one part to the other', 'like the stomach', 'throat and spine', 'It can help improve aversion to tobacco and relieve pain in the stomach caused by smoking', 'It provides relief from constipation and hard stools']",['Paraffinum'],0.0,0
LDD Bioscience Janosia Ashoka Mother Tincture Q,100 ml,190,190.0,https://www.1mg.com/otc/ldd-bioscience-janosia-ashoka-mother-tincture-q-otc780737,LDD Bioscience Pvt Ltd,,['Janosia'],0.0,0
Bakson's Homeopathy Ptelea Trifoliata Dilution 30,30 ml,100,93.9,https://www.1mg.com/otc/bakson-s-homeopathy-ptelea-trifoliata-dilution-30-otc782194,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"['It improves nervous pains alternating from the left eye to the temple', 'It can relieve liver and stomach symptoms with pain in the limbs', 'It is helpful for headaches with hunger', 'It improves the bitter taste in the mouth with excess salivation']",['Ptelea Trifoliata'],0.0,0
Dr. Majumder Homeo World Abroma Radix Dilution (30 ml Each) 6 CH,6 bottles,1560,1279.0,https://www.1mg.com/otc/dr.-majumder-homeo-world-abroma-radix-dilution-30-ml-each-6-ch-otc850401,Dr. Majumder Homeo World,"['The preparation is purely herbal and helps to get relief from irregular menstrual cycle', 'The formulation is used to provide relief from leucorrhoea and dysmenorrhoea', 'It acts as a uterine tonic', 'It boost immunity and improve the wellbeing of the body']",['Abroma Radix'],0.0,0
Dr. Majumder Homeo World Acidum Salicylicum Dilution (30ml Each) 30,3 bottles,780,780.0,https://www.1mg.com/otc/dr.-majumder-homeo-world-acidum-salicylicum-dilution-30ml-each-30-otc852884,Dr. Majumder Homeo World,"['It is useful in the management of swollen knees', 'It helps to reduce the pain', 'It enhances the flexibility of the joints', 'It assists in the management of acute articular rheumatism']",['Acidum Salicylicum'],0.0,0
Rxhomeo Apis Mel 30C,250 pellets,150,96.0,https://www.1mg.com/otc/rxhomeo-apis-mel-30c-otc858239,Rxhomeo Private Limited,"['It helps alleviate skin conditions such as eczema', 'and rashes', 'It can help reduce redness', 'swelling', 'and itching', 'It aids in managing digestive issues and can help with digestive problems', 'It can soothe digestive inflammation and helps manage urinary tract issues']",['Apis Mellifica'],0.0,0
Dr. Reckeweg Kali Bichrom Dilution 30 CH,100 ml,725,725.0,https://www.1mg.com/otc/dr.-reckeweg-kali-bichrom-dilution-30-ch-otc574889,Dr Reckeweg & Co,"['Kali Bichrom Dilution is commonly used in homoeopathy for respiratory conditions such as bronchitis', 'sinusitis', 'and asthma. It may help relieve symptoms like cough', 'congestion', 'and difficulty breathing', 'This homoeopathic remedy may be beneficial for digestive disorders such as gastritis', 'indigestion', 'and gastric ulcers. It may help reduce symptoms like abdominal pain', 'bloating', 'and nausea', 'Kali Bichrom Dilution is sometimes used for certain skin conditions like eczema and psoriasis. It may help alleviate symptoms such as itching', 'redness', 'and inflammation', 'Kali Bichrom Dilution can be beneficial for urinary tract infections. It may help reduce symptoms like a burning sensation during urination', 'frequent urination', 'and cloudy urine', 'Kali Bichrom Dilution is useful for allergies', 'particularly those affecting the respiratory system. It may help alleviate symptoms like sneezing', 'watery eyes', 'and nasal congestion']",['ichromate of Potash'],4.4,167
Dr Willmar Schwabe India Kousso Dilution 6 CH,30 ml,105,105.0,https://www.1mg.com/otc/dr-willmar-schwabe-india-kousso-dilution-6-ch-otc404639,Dr Willmar Schwabe India Pvt Ltd,"['Helps relieve headache and aids in abdominal disorders including nausea and vomiting with pains', 'Indicated in intestinal worms', 'especially in children and helps treat symptoms associated with it', 'Useful in diarrhoea with loose and dark stools and explusion of worms in stool', 'Manages urinary disorders and ailments causing increased production of urine followed by scanty urine', 'In females', 'it may helps individuals unable to retain the pregnancy', 'It may also help in excessive prostration of sudden onset']",['Kousso'],0.0,0
Bjain Acidum Phosphoricum Dilution 12C,30 ml,95,83.5,https://www.1mg.com/otc/bjain-acidum-phosphoricum-dilution-12c-otc428305,Bjain Pharmaceuticals Pvt. Ltd.,"['Indicated in grief', 'emotional trauma that leads to mental debility and weakness of memory and inability to think', 'Useful in sleeplessness due to anxiety', 'over thinking and disappointment', 'Treats headaches that are associated with mental exertion']",['Phosphoric Acid'],4.2,42
Bjain Ocimum Canum Dilution 6 CH,12 ml,60,49.7,https://www.1mg.com/otc/bjain-ocimum-canum-dilution-6-ch-otc702734,Bjain Pharmaceuticals Pvt. Ltd.,"['It is helpful in the treatment of swelling of inguinal and mammary glands', 'It is useful in renal colic', 'especially right side', 'It helps in treating high acidity urine and formation of spike crystals of uric acid', 'It is useful in pain in ureters', 'It helps treating the heat and swelling of left testicle', 'It is useful in treating swollen vulva and darting pain in labia']",['Ocimum Canum'],0.0,0
Hapro Rhus Tox Dilution 1M,30 ml,109,109.0,https://www.1mg.com/otc/hapro-rhus-tox-dilution-1m-otc727799,Hapro Homeo Chem Pvt Ltd,"['Helpful in the treatment of sore', 'dry throat and excessive cough', 'Helpful in the treatment of conditions associated with herpes', 'Helps in relieving symptoms associated with flu and viral infections']",['Rhus Toxicodendron'],4.6,38
Bakson's Homeopathy Abies Nigra Dilution 50M,30 ml,350,329.0,https://www.1mg.com/otc/bakson-s-homeopathy-abies-nigra-dilution-50m-otc747585,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"['""Baksons Abies Nigra Dilution is beneficial for managing heart issues and also issues such as constipation and dyspepsia in the elderly""', 'It helps in maintaining a healthy digestive system and also relieves constipation', 'It also helps in soothing abdominal pain and constriction around the abdominal region']",['Abies Nigra'],0.0,0
Bakson's Homeopathy Aurum Arsenicicum Dilution 1000,30 ml,140,131.0,https://www.1mg.com/otc/bakson-s-homeopathy-aurum-arsenicicum-dilution-1000-otc753504,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"['""Baksons Aurum Arsenicicum Dilution is beneficial for improving appetite and relieves abdominal inflammation""', 'It helps in managing the deficiency of red blood cells and reduces chronic fatigue', 'It may also prove beneficial in lupus where the body’s immune system starts attacking its tissues and organs']",['Aurum Arsenicicum'],0.0,0
Dr. Reckeweg Eupatorium Perf Dilution 200 CH,11 ml,170,170.0,https://www.1mg.com/otc/dr.-reckeweg-eupatorium-perf-dilution-200-ch-otc335314,Dr Reckeweg & Co,"['Provides relief from throbbing pain in the head', 'Helpful in severe bone pains and cachexia', 'Useful in vertigo', 'headaches and vomiting', 'Effective in reducing soreness and helps in easing constipation and sore liver', 'Manages coryza', 'cough and soreness in the chest', 'Also helps manage gout']",['Extract of Common boneset plant'],4.6,59
LDD Bioscience Acid Carb Dilution 30 CH,30 ml,95,92.2,https://www.1mg.com/otc/ldd-bioscience-acid-carb-dilution-30-ch-otc841026,LDD Bioscience Pvt Ltd,"['It is highly effective in the soothing of chronic influenza and also relieves a blocked nose', 'It caters to sore throat and heals cuts and wounds on the lips and inside the mouth', 'It caters to stomach disorders such as flatulence and loss of appetite', 'It acts as a laxative and relieves constipation-related issues', 'It addresses discolouration of the urine and increased urge to urinate often', 'A helpful solution for the soothing of leucorrhoea and eliminating pimple formation in the vagina', 'Caters to pain in the ovaries and scratches in the uterus', 'It can also deal with skin disorders such as eczema', 'itch and rashes']",['Acid carb'],0.0,0
Wheezal Borax Globules 0/26 LM,20 gm,180,176.0,https://www.1mg.com/otc/wheezal-borax-globules-0-26-lm-otc885723,Wheezal Homoeo Pharma,"['It may help to manage and condition mouth ulcers', 'diarrhoea and leucorrhea', 'It may help to prevent urinary infection and nausea and vomiting', 'It can also help to reduce inflammation of the stomach and intestines', 'It also helps to regulate menses in women']",['Borax'],0.0,0
