name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url,brand_name,key_benefits,key_ingredients,rating,number_of_rating
Lord's Koughcure Tablet,25 gm,150,148.0,https://www.1mg.com/otc/lord-s-koughcure-tablet-otc544787,Lord's Homoeopathic Laboratory Pvt Ltd,['Relief'],"['Ipecacuanha', 'Antimonium tartaricum', 'Bryonia alba', 'Drosera rotundifolia', 'Justicia adhatoda']",0.0,0
Bjain Aletris Farinose Globules 0/6 LM,6 gm,85,79.0,https://www.1mg.com/otc/bjain-aletris-farinose-globules-0-6-lm-otc963779,Bjain Pharmaceuticals Pvt. Ltd.,"['Relief', 'Gut']",[],0.0,0
Sett Dey Lilium Tigrinum Dilution 200,30 ml,90,72.0,https://www.1mg.com/otc/sett-dey-lilium-tigrinum-dilution-200-otc907060,Sett Dey & Co (Homeo) Lab,"['Chest', 'Pain']",['Lilium Tigrinum'],0.0,0
Wheezal Barium Carbonicum Globules 0/23 LM,20 gm,180,176.0,https://www.1mg.com/otc/wheezal-barium-carbonicum-globules-0-23-lm-otc885354,Wheezal Homoeo Pharma,"['Blood', 'Heart']",['Barium Carbonicum'],0.0,0
Bjain Argemone Mexicana Globules 0/8 LM,6 gm,85,85.0,https://www.1mg.com/otc/bjain-argemone-mexicana-globules-0-8-lm-otc965993,Bjain Pharmaceuticals Pvt. Ltd.,"['Muscular', 'Relief', 'Pain', 'Skin']",['Argemone Mexicana extract'],0.0,0
Bjain Aegle Folia Globules 0/22 LM,6 gm,85,85.0,https://www.1mg.com/otc/bjain-aegle-folia-globules-0-22-lm-otc965602,Bjain Pharmaceuticals Pvt. Ltd.,['Mind'],[],0.0,0
Bjain Amoora Rohituka Globules 0/19 LM,6 gm,85,79.0,https://www.1mg.com/otc/bjain-amoora-rohituka-globules-0-19-lm-otc964019,Bjain Pharmaceuticals Pvt. Ltd.,"['Stress', 'Pain', 'Nervous system', 'Skin']",[],0.0,0
Bjain Absinthium Dilution 6X,12 ml,90,79.1,https://www.1mg.com/otc/bjain-absinthium-dilution-6x-otc829007,Bjain Pharmaceuticals Pvt. Ltd.,[],['Absinthium'],0.0,0
ADEL Dilution Caladium Seg. 6,10 ml,145,145.0,https://www.1mg.com/otc/adel-dilution-caladium-seg.-6-otc770148,Adel Pekana Germany,"['Breathing', 'Pain', 'Chest', 'Relief', 'Stomach']",[],4.3,35
Dr. Majumder Homeo World Bryophylum Calcinum(30ml Each) CM,3 bottles,1185,1031.0,https://www.1mg.com/otc/dr.-majumder-homeo-world-bryophylum-calcinum-30ml-each-cm-otc859711,Dr. Majumder Homeo World,"['Stomach', 'Blood', 'Skin']","['Plant extract of bryophyllum', 'Ethanol']",0.0,0
Bakson's Homeopathy Ferrum Plus Tonic,200 ml,190,171.0,https://www.1mg.com/otc/bakson-s-homeopathy-ferrum-plus-tonic-otc941399,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"['Immunity', 'Circulation', 'Relief']",[],0.0,0
Father Muller Staphysagria Dilution Q,30 ml,145,145.0,https://www.1mg.com/otc/father-muller-staphysagria-dilution-q-otc952793,Father Muller Charitable Institutions,"['Psychological', 'Relief']",['Satphysagria Seeds'],0.0,0
Wheezal WL 63 Drop,30 ml,175,163.0,https://www.1mg.com/otc/wheezal-wl-63-drop-otc940830,Wheezal Homoeo Pharma,['Blood'],['Refer To Label'],0.0,0
Wheezal Amyl Nitrosum Dilution 50M,30 ml,325,302.0,https://www.1mg.com/otc/wheezal-amyl-nitrosum-dilution-50m-otc906012,Wheezal Homoeo Pharma,['Breathing'],[],0.0,0
Sett Dey Kalmia Latifolia Dilution 200,30 ml,90,82.8,https://www.1mg.com/otc/sett-dey-kalmia-latifolia-dilution-200-otc906279,Sett Dey & Co (Homeo) Lab,"['Relief', 'Pain']",[],0.0,0
Wheezal Desmodium Gangeticum Dilution CM,30 ml,335,311.0,https://www.1mg.com/otc/wheezal-desmodium-gangeticum-dilution-cm-otc915641,Wheezal Homoeo Pharma,[],[],0.0,0
Wheezal Agave Americana Dilution 50M,30 ml,325,302.0,https://www.1mg.com/otc/wheezal-agave-americana-dilution-50m-otc906504,Wheezal Homoeo Pharma,"['Pain', 'Face', 'Abdomen', 'Relief', 'Stomach', 'Skin']",['Agave Americana'],0.0,0
Wheezal Castanea Vesca Dilution 50M,30 ml,325,302.0,https://www.1mg.com/otc/wheezal-castanea-vesca-dilution-50m-otc903870,Wheezal Homoeo Pharma,"['Back', 'Throat', 'Stomach', 'Pain']",[],0.0,0
LDD Bioscience Sanicula Dilution 10M CH,100 ml,450,450.0,https://www.1mg.com/otc/ldd-bioscience-sanicula-dilution-10m-ch-otc875744,LDD Bioscience Pvt Ltd,"['Tongue', 'Ears', 'Pain', 'Hands', 'Abdomen', 'Fingers']",['Sanicula'],0.0,0
Bakson's Homeopathy Fooma Aid F2 Drop,30 ml,170,153.0,https://www.1mg.com/otc/bakson-s-homeopathy-fooma-aid-f2-drop-otc941421,Bakson Drugs & Pharmaceuticals Pvt. ltd.,['Digestion'],[],0.0,0
Wheezal Chloralum Dilution 1M,30 ml,135,125.0,https://www.1mg.com/otc/wheezal-chloralum-dilution-1m-otc905897,Wheezal Homoeo Pharma,"['Throat', 'Tongue', 'Nervous system', 'Relief', 'Stomach']",['Benzinum Nitricum'],0.0,0
LDD Bioscience Artemisia Vulgaris Dilution 10M CH,100 ml,450,437.0,https://www.1mg.com/otc/ldd-bioscience-artemisia-vulgaris-dilution-10m-ch-otc874600,LDD Bioscience Pvt Ltd,['Pain'],['Artemisia Vulgaris'],0.0,0
Sett Dey Antim Crud Dilution 30,30 ml,90,82.0,https://www.1mg.com/otc/sett-dey-antim-crud-dilution-30-otc834572,Sett Dey & Co (Homeo) Lab,"['Digestive system', 'Skin']",['Antimonium Crudum'],0.0,0
Bjain Avena Sativa Globules 0/17 LM,6 gm,85,85.0,https://www.1mg.com/otc/bjain-avena-sativa-globules-0-17-lm-otc970301,Bjain Pharmaceuticals Pvt. Ltd.,"['Stress', 'Heart', 'Well-being', 'Relief', 'Blood']",['Avena Sativa'],0.0,0
Bjain Abroma Radix Globules 0/10 LM,6 gm,85,79.0,https://www.1mg.com/otc/bjain-abroma-radix-globules-0-10-lm-otc963436,Bjain Pharmaceuticals Pvt. Ltd.,['Blood'],[],0.0,0
Bjain Alfalfa Globules 0/20 LM,6 gm,85,79.0,https://www.1mg.com/otc/bjain-alfalfa-globules-0-20-lm-otc963827,Bjain Pharmaceuticals Pvt. Ltd.,"['Digestive system', 'Skin']",[],0.0,0
Wheezal Cadmium Sulphuratum Dilution 30,30 ml,100,92.9,https://www.1mg.com/otc/wheezal-cadmium-sulphuratum-dilution-30-otc933067,Wheezal Homoeo Pharma,"['Throat', 'Vision']",['Cadmium sulfuratum'],0.0,0
HHP 4 Drop,30 ml,130,126.0,https://www.1mg.com/otc/hhp-4-drop-otc862070,Hahnemann Publishing Co. Pvt. Ltd.,['Nose'],"['Euphrasia officinalis', 'Sangunaria canadensis', 'Kali bichrom', 'Gelsemium', 'Sabadilla', 'Teucrium', 'Belladonna', 'Staphysagria']",0.0,0
Bjain Alfalfa Globules 0/27 LM,6 gm,85,79.0,https://www.1mg.com/otc/bjain-alfalfa-globules-0-27-lm-otc963834,Bjain Pharmaceuticals Pvt. Ltd.,"['Digestive system', 'Skin']",[],0.0,0
LDD Bioscience Codeinum P Dilution 30 CH,30 ml,95,92.2,https://www.1mg.com/otc/ldd-bioscience-codeinum-p-dilution-30-ch-otc841858,LDD Bioscience Pvt Ltd,[],['Codenium p'],0.0,0
SBL Phytolacca Mother Tincture Q,30 ml,125,125.0,https://www.1mg.com/otc/sbl-phytolacca-mother-tincture-q-otc338432,SBL Pvt Ltd,"['Throat', 'Pain', 'Emotional', 'Psychological', 'Relief', 'Skin']",['Phystolacca Decandra'],4.6,16
Dr. Reckeweg Raphanus Sativus Dilution 1000 CH,11 ml,180,180.0,https://www.1mg.com/otc/dr.-reckeweg-raphanus-sativus-dilution-1000-ch-otc331710,Dr Reckeweg & Co,"['Throat', 'Pain', 'Liver', 'Abdomen', 'Relief', 'Gums']",[],0.0,0
Pioneer Pharma Pothos Foetidus Globules Pellet Multidose Pills 6 CH,150 tablets,120,110.0,https://www.1mg.com/otc/pioneer-pharma-pothos-foetidus-globules-pellet-multidose-pills-6-ch-otc890858,Homeotrade,"['Throat', 'Breathing', 'Tongue', 'Pain', 'Skin']","['Lactose', 'Ethanol', 'Water']",0.0,0
Pioneer Pharma Bio-Combination No 18 Tablet,450 gm,695,521.0,https://www.1mg.com/otc/pioneer-pharma-bio-combination-no-18-tablet-otc825249,Homeotrade,[],"['Ferrum phos.3x', 'Kali mur. 3x', 'Silicea 6x', 'Calcarea phos. 3x']",0.0,0
Wheezal Cimicifuga Racemosa Globules 0/2 LM,20 gm,180,174.0,https://www.1mg.com/otc/wheezal-cimicifuga-racemosa-globules-0-2-lm-otc890509,Wheezal Homoeo Pharma,"['Throat', 'Spine', 'Muscles', 'Limbs', 'Joints']",['Cimicifuga Racemosa'],0.0,0
Wheezal Chininum Sulphuricum Globules 0/29 LM,20 gm,180,174.0,https://www.1mg.com/otc/wheezal-chininum-sulphuricum-globules-0-29-lm-otc890370,Wheezal Homoeo Pharma,"['Pain', 'Head', 'Neck', 'Spine', 'Blood']",['Chininum Sulphuricum'],0.0,0
Wheezal Cimicifuga Racemosa Globules 0/21 LM,20 gm,180,174.0,https://www.1mg.com/otc/wheezal-cimicifuga-racemosa-globules-0-21-lm-otc890528,Wheezal Homoeo Pharma,"['Throat', 'Spine', 'Muscles', 'Limbs', 'Joints']",['Cimicifuga Racemosa'],0.0,0
Dr. Majumder Homeo World Aralia Racemosa Dilution (30 ml Each) 1M,1 Bottle,295,271.0,https://www.1mg.com/otc/dr.-majumder-homeo-world-aralia-racemosa-dilution-30-ml-each-1m-otc869310,Dr. Majumder Homeo World,[],[],0.0,0
Wheezal Plumbum Metallicum Globules 0/4 LM,20 gm,180,176.0,https://www.1mg.com/otc/wheezal-plumbum-metallicum-globules-0-4-lm-otc897767,Wheezal Homoeo Pharma,"['Muscular', 'Limbs']",[],0.0,0
Dr. Reckeweg Teucrium M V Dilution 10M CH,11 ml,215,215.0,https://www.1mg.com/otc/dr.-reckeweg-teucrium-m-v-dilution-10m-ch-otc376125,Dr Reckeweg & Co,"['Throat', 'Pain']",[],4.4,32
Wheezal Dilution Geranium Mac. 1M,30 ml,145,135.0,https://www.1mg.com/otc/wheezal-dilution-geranium-mac.-1m-otc917626,Wheezal Homoeo Pharma,"['Stress', 'Emotional', 'Well-being', 'Relief', 'Skin']",[],0.0,0
Wheezal Colchicum Autumnale Dilution 10M,30 ml,275,255.0,https://www.1mg.com/otc/wheezal-colchicum-autumnale-dilution-10m-otc930449,Wheezal Homoeo Pharma,"['Throat', 'Tongue', 'Ears', 'Arms', 'Hands', 'Eyes', 'Abdomen', 'Relief', 'Fingers', 'Stomach', 'Gums']",['Colchicum Autumnale'],0.0,0
Dr Willmar Schwabe India Tuberculinum Dilution 200 CH,30 ml,120,120.0,https://www.1mg.com/otc/dr-willmar-schwabe-india-tuberculinum-dilution-200-ch-otc406458,Dr Willmar Schwabe India Pvt Ltd,['Joints'],"['Nosode (bovine TB)', 'Ethanol', 'Water']",4.0,28
LDD Bioscience Ceanonthus Americanus Dilution 30 CH,30 ml,95,92.2,https://www.1mg.com/otc/ldd-bioscience-ceanonthus-americanus-dilution-30-ch-otc841693,LDD Bioscience Pvt Ltd,"['Blood', 'Liver']",['Ceanonthus americanus'],0.0,0
Bjain Collinsonia Canadensis Globules 0/22 LM,6 gm,85,74.7,https://www.1mg.com/otc/bjain-collinsonia-canadensis-globules-0-22-lm-otc833087,Bjain Pharmaceuticals Pvt. Ltd.,"['Throat', 'Pain']",['Collinsonia canadensis'],0.0,0
Dr. Majumder Homeo World Argentum Iodatum Dilution (30 ml Each) 12 CH,6 bottles,1560,1560.0,https://www.1mg.com/otc/dr.-majumder-homeo-world-argentum-iodatum-dilution-30-ml-each-12-ch-otc869872,Dr. Majumder Homeo World,"['Throat', 'Relief', 'Head']",[],0.0,0
Dr. Majumder Homeo World Aloe Socotrina Dilution (30ml Each) 1M,6 bottles,1770,1770.0,https://www.1mg.com/otc/dr.-majumder-homeo-world-aloe-socotrina-dilution-30ml-each-1m-otc862483,Dr. Majumder Homeo World,"['Throat', 'Stomach', 'Pain']",['Aloe Socotrina'],0.0,0
Bjain Abroma Radix Globules 0/22 LM,6 gm,85,85.0,https://www.1mg.com/otc/bjain-abroma-radix-globules-0-22-lm-otc963448,Bjain Pharmaceuticals Pvt. Ltd.,['Blood'],[],0.0,0
Organon Belladonna Dilution 30,10 ml,42,42.0,https://www.1mg.com/otc/organon-belladonna-dilution-30-otc919752,Organon Homoeo Laboratory Pvt Ltd.,['Stomach'],['Belladonna'],0.0,0
Bjain Avena Sativa Globules 0/15 LM,6 gm,85,85.0,https://www.1mg.com/otc/bjain-avena-sativa-globules-0-15-lm-otc970299,Bjain Pharmaceuticals Pvt. Ltd.,"['Stress', 'Heart', 'Well-being', 'Relief', 'Blood']",['Avena Sativa'],0.0,0
Wheezal Allium Cepa 0/15 LM,20 gm,180,180.0,https://www.1mg.com/otc/wheezal-allium-cepa-0-15-lm-otc877557,Wheezal Homoeo Pharma,"['Chest', 'Relief']",['Allium Cepa'],0.0,0
Bjain Abroma Radix Globules 0/14 LM,6 gm,85,85.0,https://www.1mg.com/otc/bjain-abroma-radix-globules-0-14-lm-otc963440,Bjain Pharmaceuticals Pvt. Ltd.,['Blood'],[],0.0,0
Bjain Abroma Radix Globules 0/12 LM,6 gm,85,85.0,https://www.1mg.com/otc/bjain-abroma-radix-globules-0-12-lm-otc963438,Bjain Pharmaceuticals Pvt. Ltd.,['Blood'],[],0.0,0
Dr. Reckeweg Arsenicum Album Dilution 1M,100 ml,975,975.0,https://www.1mg.com/otc/dr.-reckeweg-arsenicum-album-dilution-1m-otc940858,Dr Reckeweg & Co,"['Throat', 'Breathing', 'Stress', 'Nervous system', 'Relief', 'Immunity', 'Skin']",['Arsenicum album'],0.0,0
Boericke Abrus Precatorius Dilution (30ml Each) 50M,3 bottles,1065,1065.0,https://www.1mg.com/otc/boericke-abrus-precatorius-dilution-30ml-each-50m-otc866788,Boericke Homoeo Pharmacy,"['Neck', 'Face', 'Skin']",['Abrus Precatorius'],0.0,0
Bjain Achyranthes Aspera Globules 0/18 LM,6 gm,85,85.0,https://www.1mg.com/otc/bjain-achyranthes-aspera-globules-0-18-lm-otc963636,Bjain Pharmaceuticals Pvt. Ltd.,[],[],0.0,0
Wheezal Skookum Chuck Trituration Tablet 3X,25 gm,180,180.0,https://www.1mg.com/otc/wheezal-skookum-chuck-trituration-tablet-3x-otc842462,Wheezal Homoeo Pharma,['Skin'],['Skookum chuck'],0.0,0
Wheezal Colocynthis Dilution 10M,30 ml,275,275.0,https://www.1mg.com/otc/wheezal-colocynthis-dilution-10m-otc932103,Wheezal Homoeo Pharma,[],[],0.0,0
Bjain Avena Sativa Globules 0/26 LM,6 gm,85,85.0,https://www.1mg.com/otc/bjain-avena-sativa-globules-0-26-lm-otc970310,Bjain Pharmaceuticals Pvt. Ltd.,"['Stress', 'Heart', 'Well-being', 'Relief', 'Blood']",['Avena Sativa'],0.0,0
Bjain Aegle Marmelos Globules 0/1 LM,6 gm,85,85.0,https://www.1mg.com/otc/bjain-aegle-marmelos-globules-0-1-lm-otc965615,Bjain Pharmaceuticals Pvt. Ltd.,"['Nose', 'Eyes']",[],0.0,0
Bjain Antimonium Tartaricum Globules 0/21 LM,6 gm,85,85.0,https://www.1mg.com/otc/bjain-antimonium-tartaricum-globules-0-21-lm-otc830854,Bjain Pharmaceuticals Pvt. Ltd.,"['Pain', 'Liver']",['Antimonium tartaricum'],0.0,0
REPL Dr. Advice No.60 Locomotor Ataxia Drop,30 ml,180,180.0,https://www.1mg.com/otc/repl-dr.-advice-no.60-locomotor-ataxia-drop-otc339395,Renovision Exports Pvt Ltd,[],[],0.0,0
Sett Dey Anthracinum Dilution 200,30 ml,90,90.0,https://www.1mg.com/otc/sett-dey-anthracinum-dilution-200-otc899253,Sett Dey & Co (Homeo) Lab,"['Pain', 'Head', 'Emotional', 'Relief', 'Skin']",[],0.0,0
Rxhomeo Uranium Nitricum 1M,250 pellets,150,150.0,https://www.1mg.com/otc/rxhomeo-uranium-nitricum-1m-otc868553,Rxhomeo Private Limited,[],[],0.0,0
Rxhomeo Actaea Spicata 1M Pellets,250 pellets,150,150.0,https://www.1mg.com/otc/rxhomeo-actaea-spicata-1m-pellets-otc856839,Rxhomeo Private Limited,"['Pain', 'Toes', 'Ankles', 'Joints', 'Fingers']",['Actaea Spicata'],0.0,0
Dr. Majumder Homeo World Brahmi Dilution(30ml Each) 50M,6 bottles,2130,2130.0,https://www.1mg.com/otc/dr.-majumder-homeo-world-brahmi-dilution-30ml-each-50m-otc859444,Dr. Majumder Homeo World,"['Stress', 'Head', 'Pain', 'Brain', 'Relief', 'Blood', 'Joints']",['Bacopa Monnieri'],0.0,0
Combo Pack of SBL Nux Vomica Dilution 200 CH & SBL Arnica Montana Dilution 200 CH (30ml Each),2 bottles,240,240.0,https://www.1mg.com/otc/combo-pack-of-sbl-nux-vomica-dilution-200-ch-sbl-arnica-montana-dilution-200-ch-30ml-each-otc861564,,"['Throat', 'Breathing', 'Nose', 'Head', 'Teeth', 'Pain', 'Eyes', 'Mouth', 'Hair', 'Gums']",[],4.6,5722
